sample_id,ct_dataset,pore1_left_areas,pore2_left_areas,pore3_left_areas,pore4_left_areas,pore5_left_areas,pore6_left_areas,pore7_left_areas,pore8_left_areas,pore9_left_areas,pore10_left_areas,pore1_right_areas,pore2_right_areas,pore3_right_areas,pore4_right_areas,pore5_right_areas,pore6_right_areas,pore7_right_areas,pore8_right_areas,pore9_right_areas,pore10_right_areas,pore1_ioc_l_areas,pore2_ioc_l_areas,pore3_ioc_l_areas,pore1_ioc_r_areas,pore2_ioc_r_areas,pore3_ioc_r_areas,pore1_lateral_areas,pore2_lateral_areas,pore3_lateral_areas,pore4_lateral_areas,pore5_lateral_areas,mean_mandibular_left_pore_area,mean_mandibular_right_pore_area,mean_mandibular_pore_area,mean_preopercular_left_pore_area,mean_preopercular_right_pore_area,mean_preopercular_pore_area,mean_orbital_left_area,mean_orbital_right_area,mean_orbital_pore_area,mean_otic_pore_area,sequencing_sample_id,subset_vcf_number,seq_depth,colour,Morph,Sex,Sex_Value,collection,Site,Depth,Depth_Cat,SL,BD,HL,HW,IOW,SNL,LJL,PPL,CHD,ED,LAD,DFB,AFB,PRD,PRA,PRP,PRV,CPL,CPD,EggspotNumber,EggspotNumberTheis,FirstSpot,EggspotContrast,PC1,PC2,PC3,PC4,PC5,subpop,Notes,max_number_rings.y,batch,standard_length_fitness,standardised_max_rings,LPG,LPW,LogLPG,ResLPG,T1W,T2W,T3W,T4W,TWA,carbon_content,d13CV.PDB_percent,morpho_PC1,morpho_PC2,morpho_PC3,morpho_PC4,morpho_PC5,morpho_PC6,morpho_PC7,morpho_PC8,morpho_PC9,morpho_PC10,morpho_PC11,morpho_PC12
D29B02,Y,0.011175595,0.028650162,0.128011364,0.330594426,0.30011553,0.150159361,0.486036796,0.304992153,0.134716721,0.078432359,0.031901245,0.018287338,0.144876353,0.20928842,0.282844156,0.159506223,0.389317099,0.301131493,0.154832792,0.221886363,0.238595496,0.318262816,0.178845005,0.265219013,0.373135715,0.234327603,0.238768347,0.148975122,0.126934967,0.199177698,0.257543294,0.159709415,0.137439502,0.148574459,0.251044507,0.266791937,0.258918222,0.245234439,0.290894111,0.268064275,0.163056333,cichl187580003,324,15.1,Blue,Benthic,Male,1,2018,NA,1,Deep,85.74,29,31.87,12.56,6.06,9.04,11.75,8.01,8.44,7.49,5.52,43.34,15.69,30.55,54.96,31.15,34.45,15.1,8.93,4,3.5,5,0.554705093,0.047375289,-0.020469757,-0.022980155,0.007366536,0.015827894,benthic,,79,Giulia_2,88.43,0.123754037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B03,Y,0.041352741,0.038231779,0.271653695,0.190898815,0.208974384,0.135631787,0.698315146,0.208194143,0.163850481,0.116906018,0.038361819,0.042783181,0.16059948,0.226269712,0.179845409,0.164110561,0.487910322,0.247856363,0.157348478,0.174383726,0.278805898,0.229260634,0.232121515,0.279525417,0.23712184,0.126560368,0.282634692,0.237311291,0.150229251,0.359531699,0.174673332,0.150222283,0.12957192,0.139897101,0.296816447,0.266874722,0.281845585,0.246729349,0.214402542,0.230565945,0.254880475,cichl187580004,325,15.9,Blue,Benthic,Male,1,2018,NA,1,Deep,77.48,26.48,29.23,11.54,5.74,9.04,12.05,6.36,6.92,8.37,5.32,40.63,14.63,29.24,48.29,28,29.82,14.44,9.33,4,3.5,3,0.341366708,0.056147214,0.012505799,-0.052209775,-0.010601448,0.024050039,benthic,,62,Giulia_2,89.55,-0.634272098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B04,Y,0.018744931,0.084129035,0.141702751,0.205747931,0.390073084,0.203516391,0.692223516,0.207086854,0.303266202,0.107560198,0.036597246,0.072078722,0.155761449,0.232749557,0.307952434,0.182093613,0.617243793,0.214674088,0.33093729,0.10711389,0.293999119,0.428455302,0.292898822,0.292554813,0.343433911,0.297017891,0.291016438,0.188743693,0.1413383,0.482393764,0.310768685,0.168079546,0.161027882,0.164553714,0.327534192,0.317492265,0.322513229,0.338451081,0.311002205,0.324726643,0.311866032,cichl187580005,326,17.5,Blue,NA,Male,1,2018,NA,1,Deep,84.81,29.53,33.12,12.77,7.15,9.62,13.15,8.78,8.22,8.26,6.9,44.42,16.09,29.2,53.26,31.8,33.13,15.26,9.57,NA,NA,NA,0.536127933,0.059461071,0.030815164,0.01790916,-0.016275796,0.027047981,benthic,,87,Giulia_2,86.95,0.480472218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B05,Y,0.016924195,0.04388483,0.110007265,0.206239023,0.234970795,0.180459145,0.713768068,0.290072824,0.195021824,0.076158876,0.026960636,0.060809025,0.107252163,0.14621717,0.20072882,0.178688008,0.733644157,0.220408116,0.17947518,0.080488321,0.327463486,0.349504298,0.150349822,0.298988781,0.320640371,0.281864341,0.407197608,0.210166507,0.134637919,0.336047488,0.293357416,0.122405221,0.108393563,0.115399392,0.318755398,0.303503943,0.311129671,0.275772535,0.300497831,0.288135183,0.235342703,cichl187580006,327,17.3,Blue,Benthic,Male,1,2018,NA,1,Deep,86.7,29.1,31.7,13,6.8,11.3,13.3,9.6,8,8.3,6.8,44.1,15.8,32.5,57.5,31.7,35.1,15.7,9.7,4,3.5,5,0.45484129,0.062444598,0.027345599,-0.037207387,0.000225559,0.029234565,benthic,,78,Giulia_2,91.18,0.079164264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B06,Y,0.037587455,0.072419809,0.171997047,0.224737561,0.24795913,0.173374598,0.527011548,0.24461365,0.317230252,0.159599091,0.047230311,0.072419809,0.154679267,0.245400822,0.308964948,0.193841066,0.490211265,0.281610726,0.381778343,0.110007265,0.269660717,0.313160731,0.329301008,0.422796512,0.292099639,0.407837231,0.321856373,0.163665061,0.157096563,0.313098377,0.298319258,0.150940201,0.165739031,0.158339616,0.312113635,0.3159019,0.314007768,0.304040819,0.37424446,0.33914264,0.23509747,cichl187580007,328,17.7,Blue,Benthic,Male,1,2018,NA,1,Deep,91.96,30.62,36.04,14.14,7.58,12.34,13.33,9.16,8.45,9.33,6.78,43.7,17.04,35.89,59.53,36.12,39.32,17.28,11.24,9,8,3,0.372245117,0.060715258,0.049538068,0.004388942,0.028384791,0.000716645,benthic,,86,Giulia_2,96.05,0.435882445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B07,Y,0.020141602,0.083251953,0.099365234,0.177001953,0.198974609,0.127563477,0.62512207,0.217407227,0.145385742,0.12487793,0.017578125,0.082275391,0.101806641,0.194702148,0.239379883,0.109985352,0.462646484,0.207397461,0.119506836,0.111083984,0.23502514,0.300029537,0.260978836,0.228566202,0.311965226,0.186626346,0.276606724,0.15423805,0.176376319,0.344724475,0.223815467,0.11574707,0.127148438,0.121447754,0.278198242,0.225158691,0.251678467,0.265344504,0.242385925,0.253865214,0.260550397,cichl187580008,329,17.3,Blue,Benthic,Male,1,2018,NA,1,Deep,66.69,21.8,25.93,11.06,4.91,8.63,10.32,7.75,6.11,6.51,4.31,33.98,11.22,23.69,42.75,26.02,28.75,12.29,8,4,3.5,3,0.500903922,0.051014306,-0.002823396,-0.002899321,-0.014411288,0.043514738,benthic,,87,Giulia_2,69.74,0.480472218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B08,Y,0.015460947,0.056221627,0.119254719,0.154176999,0.182071575,0.135796852,0.449340538,0.237752609,0.092225091,0.096225476,0.019028858,0.090603313,0.27256677,0.21223664,0.163367072,0.125309356,0.358412869,0.152555221,0.161853413,0.094819935,0.228963865,0.231017838,0.199019111,0.262727985,0.265430948,0.222075425,0.2912267,0.14311355,0.12686485,0.274040575,0.10061695,0.105437173,0.151560531,0.128498852,0.218885929,0.19191036,0.205398144,0.219666938,0.250078119,0.234872529,0.200452713,cichl187580009,330,17.7,Blue,Benthic,Male,1,2018,NA,1,Deep,62.87,20.8,24.34,10.06,4.89,7.67,10.18,7.04,5.4,6.77,4.85,32.5,11.9,24.37,41.88,24.26,26.05,11.7,8,4,3.5,2,NA,0.064473012,0.040286601,-0.091495144,-0.012851976,7.47E-05,benthic,,68,Giulia_2,63.41,-0.366733462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29B10,Y,0.021998101,0.072834049,0.083001238,0.14363466,0.192806886,0.196504045,0.759026915,0.206301519,0.113133091,0.076716067,0.022182959,0.038820178,0.128661162,0.123115423,0.204822655,0.137534346,0.588402989,0.210368395,0.125888293,0.085774108,0.254602412,0.270873299,0.228901805,0.430069143,0.369238211,0.293430666,0.303915517,0.226534814,0.156256687,0.25494512,0.214946399,0.102854987,0.103520476,0.103187731,0.288794398,0.252608446,0.270701422,0.251459172,0.364246007,0.307852589,0.205600903,cichl187580011,332,13.9,Blue,Benthic,Male,1,2018,NA,1,Deep,83.07,27.44,31.49,12.44,6.38,10.36,12.37,8.7,7.23,7.93,5.38,41.92,15.12,29.55,51.89,31.52,33.78,16.55,8.99,4,3.5,5,0.445979282,0.06120099,0.027473968,0.002775915,0.005724289,0.001453161,benthic,,93,Giulia_2,81.7,0.748010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C01,Y,0.027913557,0.066364019,0.112393659,0.138828352,0.263237781,0.182824554,0.492831407,0.229963342,0.218687005,0.134946334,0.029392421,0.056751404,0.09668073,0.172472507,0.26693494,0.177278814,0.582672391,0.213510981,0.159162731,0.131803748,0.131646272,0.252013861,0.149211435,0.194141273,0.245727382,0.166406805,0.207871565,0.231263762,0.148859433,0.366832174,0.222225868,0.121747474,0.1244464,0.123096937,0.269107022,0.271787463,0.270447242,0.177623856,0.20209182,0.189857838,0.257845804,cichl187580012,333,16.1,Blue,Benthic,Male,1,2018,NA,1,Deep,79.66,28.56,30.82,12.18,6.04,9.57,12.71,8.66,7.26,8.62,5.32,39.52,14.04,30.33,48.64,29.77,30.86,14.35,8.24,7,6.5,4,0.225846438,0.061939211,0.035256114,0.005633795,0.017495666,0.018081727,benthic,,103,Giulia_2,78.55,1.19390858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C04,Y,0.053584149,0.150455136,0.19679303,0.254381688,0.293091945,0.179058774,0.603536763,0.35220613,0.334281184,0.075894986,0.045003057,0.114986625,0.117846989,0.185351575,0.239126414,0.176389101,0.646632911,0.385767732,0.203848594,0.097633751,0.196785916,0.261379766,0.252742216,0.253289414,0.307265999,0.252526494,0.120969827,0.155454439,0.186654802,0.396299344,0.12699095,0.18966119,0.140462932,0.165062061,0.341479766,0.333470747,0.337475257,0.236969299,0.271027302,0.253998301,0.291477073,cichl187580015,336,17.6,Blue,Benthic,Male,1,2018,NA,1,Deep,81.79,29.29,31.31,12.97,6.29,9.84,12.17,8.4,7.99,7.84,5.73,42.11,15.76,30.52,50.88,30.27,32.6,14.04,9.33,9,8.5,3,0.398393416,0.057358863,0.037269905,0.02653882,0.014825693,0.003398127,benthic,,93,Giulia_2,84.6,0.748010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C05,Y,0.027227908,0.071552411,0.154080412,0.144160167,0.265735944,0.180886183,0.672888157,0.348686084,0.222466787,0.12558609,0.018785146,0.137828095,0.168433108,0.121364708,0.225210685,0.200515605,0.590782293,0.250750041,0.195449948,0.160412484,0.207078902,0.323811453,0.227132414,0.2294544,0.321278378,0.257740407,0.317025037,0.186408991,0.160458784,0.49737898,0.586042189,0.132551368,0.134324349,0.133437858,0.342406779,0.299348692,0.320877735,0.252674257,0.269491062,0.261082659,0.328918882,cichl187580016,337,14.2,Blue,Benthic,Male,1,2018,NA,1,Deep,85.68,30.7,31.52,13.22,6.22,10.49,11.97,8.54,7.75,7.74,6.1,44.21,15.58,30.98,54.4,30.56,32.33,15.45,9.37,7,6.5,2,0.550157279,0.04968219,0.020927996,0.011788397,0.000768532,-0.002333243,benthic,,76,Giulia_2,86.09,-0.010015281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C07,Y,0.027227908,0.051078712,0.209591575,0.285365366,0.323568866,0.17476518,0.876780867,0.281988261,0.115876913,0.18384115,0.014774834,0.097724974,0.153447205,0.204103779,0.346153255,0.191228567,0.641861005,0.268690911,0.139938785,0.112288739,0.281804622,0.308613002,0.270616873,0.344434306,0.301952686,0.200538232,0.348655538,0.265385573,0.19709222,0.452293696,0.433722697,0.179366485,0.163240809,0.171303647,0.364621798,0.29069486,0.327658329,0.287011499,0.282308408,0.284659954,0.324692958,cichl187580018,339,16.7,Blue,Benthic,Male,1,2018,NA,1,Deep,92.15,32.94,34.4,13.99,7.35,11.57,13.34,9.37,8.53,9.04,6.62,47.31,18.19,32.61,58.6,32.62,34.1,17.42,11.64,5,5,3,0.48597211,0.055745169,0.024258715,0.048037306,0.027211128,-0.040306508,benthic,,93,Giulia_2,93.41,0.748010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C08,Y,0.027523052,0.10803825,0.184650925,0.273381959,0.440985023,0.157333269,0.788514906,0.406273114,0.293099966,0.245448115,0.029782407,0.073326341,0.111119188,0.286938089,0.424964142,0.212790165,1.077506954,0.333152169,0.245653511,0.136999073,0.278777263,0.414776193,0.410051154,0.355313778,0.423619964,0.271603231,0.393961426,0.253343926,0.223128595,0.362002903,0.256249246,0.206915842,0.185226033,0.196070938,0.433334025,0.448327927,0.440830976,0.367868203,0.350178991,0.359023597,0.292565749,cichl187580019,340,14.6,Blue,Benthic,Male,1,2018,NA,1,Deep,93.65,31.09,36.48,14.77,7.52,12.04,15,9.72,8.93,9,6.97,45.76,16.51,34.49,60.23,33.25,36.13,18.26,10.22,6,5.5,2,0.290873402,0.047155825,-0.000216678,-0.057155271,0.039126506,-0.001563897,benthic,,108,Giulia_2,91.78,1.416857443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C09,Y,0.013559717,0.048427561,0.135209751,0.258990597,0.50732713,0.257828335,0.677792146,0.325239501,0.27758678,0.221410809,0.01549682,0.062180988,0.179375686,0.252791869,0.446308403,0.203395757,0.714403382,0.352358935,0.26150883,0.128042472,0.301353369,0.333014546,0.178713992,0.29353344,0.29238906,0.265496133,0.361515766,0.23020048,0.189264136,0.340781773,0.207871565,0.192702951,0.191230753,0.191966852,0.375507309,0.364078405,0.369792857,0.271027302,0.283806211,0.277416757,0.265022955,cichl187580020,341,16.4,Blue,Benthic,Male,1,2018,NA,1,Deep,90.16,31.52,33.17,14.02,7.13,10.48,13.65,8.01,8.13,8.61,6.92,45.58,17.16,32.82,57.41,32.46,33.84,17.76,10.32,7,6.5,4,0.386065028,0.053246068,0.006375047,-0.038326956,0.01565313,0.005933791,benthic,,87,Giulia_2,89.09,0.480472218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29C10,Y,0.022377488,0.069808034,0.243476802,0.286529143,0.319122441,0.226936919,0.696620939,0.265367823,0.193857154,0.117725047,0.017512817,0.080753545,0.11796828,0.161020622,0.401092154,0.22499105,0.721430763,0.235450094,0.107752471,0.114563011,0.37781024,0.356645082,0.22357219,0.366132911,0.374161075,0.339129089,0.300712034,0.178895817,0.281221439,0.415567325,0.313241702,0.188262782,0.155669484,0.171966133,0.318392741,0.294799084,0.306595912,0.319342504,0.359807692,0.339575098,0.348394382,cichl187580021,342,16.2,Blue,Benthic,Male,1,2018,NA,1,Deep,95.91,32.88,35.71,14.15,7.75,12.31,13.42,10.24,9.3,8.9,7.02,47.77,18.54,34.52,62.05,34.19,38.39,17.71,11.52,6,5.5,3,0.278534306,0.049935597,0.00764696,-0.036988474,0.017655065,-0.007519713,benthic,,108,Giulia_2,92.78,1.416857443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D01,Y,0.016226277,0.055662292,0.053197541,0.123237547,0.257361078,0.185267113,0.688281701,0.171300191,0.139258428,0.097357662,0.017458653,0.064083525,0.10249256,0.161851979,0.271738792,0.137820657,0.655829147,0.200261014,0.181980778,0.18136459,0.283035567,0.32206079,0.259620433,0.303635073,0.374305212,0.283707737,0.260316694,0.158630486,0.162697934,0.260897758,0.362583967,0.101136947,0.123525101,0.112331024,0.274049496,0.304858882,0.289454189,0.28823893,0.320549341,0.304394135,0.211797846,cichl187580022,343,16.2,Blue,Benthic,Male,1,2018,NA,1,Deep,90.33,31.18,33.18,13.61,6.84,11.83,14.18,9.57,9.18,8.89,5.89,47.45,16.87,31.77,60.27,32.76,34.61,18.06,10.21,4,3.5,5,NA,0.049834029,0.02065697,0.035661735,-0.002477384,-0.032283956,benthic,,102,Giulia_2,87.01,1.149318807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D02,Y,0.018296891,0.067832375,0.122053648,0.191671086,0.389366758,0.231165594,0.712239937,0.29118832,0.183638305,0.09282325,0.024990875,0.105095555,0.227149203,0.180960711,0.449612617,0.216885094,0.734106953,0.343847664,0.145259461,0.102864227,0.321665241,0.35312771,0.236298542,0.268900495,0.336516139,0.270908881,0.341174414,0.241054072,0.19577672,0.302274153,0.377523837,0.157844152,0.197561792,0.177702972,0.319972453,0.331519576,0.325746015,0.303697164,0.292108505,0.297902834,0.249025437,cichl187580023,344,15.1,Blue,Benthic,Male,1,2018,NA,1,Deep,92.03,31.34,34.85,14.74,7.48,10.76,14.75,8.96,8.29,8.96,6.46,46.11,17.24,33.78,60.55,33.67,35.64,18.88,10.26,4,3.5,4,0.444335913,0.062254744,0.043073372,-0.041099196,0.04516303,-0.018990705,benthic,,76,Giulia_2,89.25,-0.010015281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D03,Y,0.024221435,0.13072179,0.0937425,0.129797308,0.331889128,0.150320814,0.57188472,0.280303018,0.18803969,0.126284275,0.011833373,0.115375385,0.13386503,0.178794867,0.358699113,0.156422397,0.507170962,0.251828965,0.171953699,0.154203639,0.161414601,0.26199827,0.166406805,0.190073551,0.375709586,0.204865267,0.381718117,0.188200855,0.236048529,0.426375947,0.272200106,0.142074432,0.159713554,0.150893993,0.291627926,0.271289316,0.281458621,0.196606559,0.256882801,0.22674468,0.331212238,cichl187580024,345,18.9,Blue,Benthic,Male,1,2018,NA,1,Deep,82.3,29.15,31.23,13.09,6.85,10.95,12.98,9.27,7.19,7.82,5.95,39.91,14.86,30.32,54.22,30.98,31.79,15.86,8.23,7,6,2,0.303170431,0.059335765,0.03384338,-0.008474721,0.022676758,0.011427209,benthic,,88,Giulia_2,81.74,0.52506199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D04,Y,0.016455784,0.027919364,0.136638477,0.156052604,0.384954409,0.158641154,0.940568241,0.422673285,0.211151746,0.120182693,0.019414127,0.064713758,0.144404127,0.189888654,0.340024572,0.157531775,0.676166318,0.344831879,0.142740059,0.122586346,0.272574425,0.282042609,0.259464633,0.234078906,0.219841879,0.157901568,0.349288027,0.225415713,0.251466114,0.452426348,0.327490753,0.144404127,0.151689048,0.148046588,0.423643991,0.321581151,0.372612571,0.271360556,0.203940784,0.23765067,0.351946231,cichl187580025,346,16.9,Blue,Benthic,Male,1,2018,NA,1,Deep,89.73,29.46,33.23,14.27,6.83,10.77,13.87,8.51,8.41,8.77,6.49,45.31,17.4,31.79,59.59,32.45,34.24,16.83,10.1,5,4,4,0.366948507,0.056960847,0.009540214,-0.003380084,-0.010050993,0.01899417,benthic,,95,Giulia_2,86.05,0.837190399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D06,Y,0.030605755,0.048719366,0.124296844,0.397042011,0.38142683,0.180303294,0.829478433,0.303350923,0.120132795,0.176347448,0.020820242,0.098687946,0.190088808,0.262543249,0.357483552,0.151154955,0.74140881,0.313969246,0.149489336,0.194669261,0.314523511,0.396004098,0.221432995,0.370673346,0.408669474,0.269350335,0.404713418,0.241294151,0.19822698,0.332148184,0.271972136,0.196418161,0.185924759,0.19117146,0.3573274,0.349884163,0.353605782,0.310653535,0.349564385,0.33010896,0.265187582,cichl187580027,348,19.5,Blue,Benthic,Male,1,2018,NA,1,Deep,90.28,32.04,34.5,14.58,6.88,11.11,13.66,9.31,8.59,8.68,6.19,44.71,17.27,33.25,57.5,32.72,37.63,16.91,11,5,4.5,4,0.334812916,0.051182247,0.005177227,-0.045922199,0.007533613,0.00562864,benthic,,90,Giulia_2,90.29,0.614241536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D07,Y,0.016337109,0.047239834,0.254110939,0.1610091,0.243088311,0.16396159,0.478696982,0.251158449,0.087787358,0.122429902,0.017321272,0.037791867,0.145262489,0.187384674,0.322608698,0.160812267,0.58439611,0.320049873,0.176952544,0.109832613,0.298791948,0.395633607,0.274778366,0.351346263,0.382642653,0.204115448,0.313308267,0.148321467,0.218315867,0.437187245,0.290532312,0.144357059,0.1420738,0.143215429,0.235018173,0.297807785,0.266412979,0.323067974,0.312701455,0.317884714,0.327751556,cichl187580028,349,19.3,Blue,Benthic,Male,1,2018,NA,1,Deep,89.84,30.81,33.17,14.52,7.27,10.54,13.88,8.99,8.41,8.55,6.07,47.16,17.44,34.34,56.32,32.26,33.33,17.35,10.62,4,3.5,4,0.555682979,0.055167226,0.023550739,-0.031367927,0.008052098,-0.02507713,benthic,,83,Giulia_2,93.83,0.302113127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D08,Y,0.018119348,0.118443318,0.205416189,0.251000654,0.221246777,0.131794417,0.412739678,0.225633567,0.312224978,0.122257918,0.012778909,0.092885501,0.140949456,0.139042156,0.29410563,0.153919094,0.48578926,0.224679917,0.182147131,0.119587698,0.28952811,0.364103533,0.213999038,0.29143541,0.276177012,0.224298457,0.394323226,0.081453909,0.186642731,0.338222521,0.313948177,0.162845257,0.13595233,0.149398794,0.268214035,0.253051002,0.260632518,0.289210227,0.263970293,0.27659026,0.262432626,cichl187580029,350,12.8,Blue,Benthic,Male,1,2018,NA,1,Deep,86.98,30.19,32.33,13.1,6.95,10.66,12.42,8.94,7.73,8.26,6.1,45.9,16.2,30.99,55.35,30.72,32.02,15.56,9.6,4,NA,4,0.341828379,0.053937803,0.048067537,0.035864628,0.029127051,0.016000649,benthic,,95,Giulia_2,85.64,0.837190399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D09,Y,0.02033861,0.089674778,0.134049926,0.154758329,0.264401924,0.186560518,0.552840386,0.40418364,0.231305459,0.094666982,0.018674541,0.08283361,0.154018743,0.191552722,0.192846997,0.190998033,0.530098122,0.390686199,0.192107412,0.118888417,0.201167338,0.250904483,0.113896213,0.187907019,0.27439523,0.20083473,0.225734134,0.173045617,0.261376365,0.4049784,0.292886164,0.132644713,0.127985323,0.130315018,0.320749117,0.307945037,0.314347077,0.188656011,0.22104566,0.204850835,0.333177383,cichl187580030,351,14,Blue,Benthic,Male,1,2018,NA,1,Deep,89.24,30.13,33.75,13.48,7.78,10.44,13.6,9.11,8.09,9.03,6.09,45.99,17.9,31.25,56.38,31.93,32.04,16.13,9.55,6,NA,2,0.333552667,0.055856066,0.057195918,0.032059673,0.040627296,-0.003420083,benthic,,98,Giulia_2,88.91,0.970959717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29D10,Y,0.036424601,0.053250178,0.100583669,0.174357352,0.303599971,0.213370503,0.772312472,0.180089142,0.123141036,0.094851879,0.020523506,0.073403891,0.152909364,0.166406805,0.264401924,0.212261125,0.846086155,0.343352708,0.156977086,0.140151509,0.32682893,0.480445921,0.237912236,0.380331998,0.535829912,0.360363181,0.390086801,0.16805306,0.230691019,0.479205848,0.32082857,0.133643154,0.135529098,0.134586126,0.292598632,0.371641865,0.332120248,0.348395696,0.425508364,0.38695203,0.354948434,cichl187580031,352,14.9,Blue,Benthic,Male,1,2018,NA,1,Deep,85.69,30.21,31.35,13.15,6.67,9.17,12.25,8.86,8.2,8.2,6.35,43.83,15.87,30.92,54.24,31.74,32.64,14.74,9.42,3,2.5,4,-0.294588301,0.053485848,0.025744896,0.016565551,-0.006057366,0.007072098,benthic,,111,Giulia_2,86.81,1.550626761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29E01,Y,0.024275305,0.060371627,0.278216099,0.446876693,0.302913582,0.131508824,0.537223043,0.174148924,0.212989411,0.109133326,0.037996129,0.105966981,0.093512695,0.132564272,0.331410679,0.164438802,0.689629738,0.266395081,0.272516679,0.177948537,0.255207332,0.387560514,0.21341159,0.319800751,0.740924512,0.418590686,0.19045338,0.126278872,0.168509839,0.226059882,0.225231824,0.222530661,0.140290151,0.181410406,0.258373676,0.351622509,0.304998092,0.285393145,0.493105316,0.389249231,0.19728486,cichl187580032,353,12.7,Blue,Benthic,Male,1,2018,NA,1,Deep,87.36,30.29,33.46,13.56,7.14,11.1,12.86,8.97,8.39,9.03,6.4,44.15,17.48,31.57,57.6,31.77,32.75,15.27,9.77,6,5.5,3,NA,0.056673172,0.020946009,0.008712539,0.003111171,0.01682715,benthic,,90,Giulia_2,85.97,0.614241536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D29E02,Y,0.016660774,0.098221073,0.148590855,0.218721089,0.213684111,0.194117388,0.626910047,0.43182401,0.281489585,0.119337636,0.013754825,0.095121395,0.262891512,0.329534608,0.344064352,0.151109344,0.573440587,0.363437345,0.21581514,0.126893103,0.206871105,0.313751229,0.179905033,0.315004863,0.316942162,0.346582841,0.388636097,0.298319258,0.160380812,0.337730242,0.567080277,0.13917558,0.209073338,0.174124459,0.364890319,0.319896544,0.342393431,0.233509123,0.326176622,0.279842872,0.249055527,cichl187580033,354,13.8,Blue,Benthic,Male,1,2018,NA,1,Deep,89.78,31.14,34.99,13.45,7.41,11.84,13.5,9.34,8.31,8.89,6.75,45,17.19,34.48,58.41,32.42,36.33,16.83,9.57,5,4.5,3,0.960126157,0.057313132,0.019742222,0.01654226,0.001922503,0.022376111,benthic,,80,Giulia_2,92.03,0.168343809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
