sample_id,subpop_for_graph,dataset,ct_dataset,pore1_left_areas,pore2_left_areas,pore3_left_areas,pore4_left_areas,pore5_left_areas,pore6_left_areas,pore7_left_areas,pore8_left_areas,pore9_left_areas,pore10_left_areas,pore1_right_areas,pore2_right_areas,pore3_right_areas,pore4_right_areas,pore5_right_areas,pore6_right_areas,pore7_right_areas,pore8_right_areas,pore9_right_areas,pore10_right_areas,pore1_ioc_l_areas,pore2_ioc_l_areas,pore3_ioc_l_areas,pore1_ioc_r_areas,pore2_ioc_r_areas,pore3_ioc_r_areas,pore1_lateral_areas,pore2_lateral_areas,pore3_lateral_areas,pore4_lateral_areas,pore5_lateral_areas,mean_mandibular_left_pore_area,mean_mandibular_right_pore_area,mean_mandibular_pore_area,mean_preopercular_left_pore_area,mean_preopercular_right_pore_area,mean_preopercular_pore_area,mean_orbital_left_area,mean_orbital_right_area,mean_orbital_pore_area,mean_otic_pore_area,sequencing_sample_id,subset_vcf_number,seq_depth,colour,Morph,Sex,Sex_Value,collection,Site,Depth,Depth_Cat,SL,BD,HL,HW,IOW,SNL,LJL,PPL,CHD,ED,LAD,DFB,AFB,PRD,PRA,PRP,PRV,CPL,CPD,EggspotNumber,EggspotNumberTheis,FirstSpot,EggspotContrast,PC1,PC2,PC3,PC4,PC5,subpop,Notes,max_number_rings.y,batch,standard_length_fitness,standardised_max_rings,LPG,LPW,LogLPG,ResLPG,T1W,T2W,T3W,T4W,TWA,carbon_content,d13CV.PDB_percent,morpho_PC1,morpho_PC2,morpho_PC3,morpho_PC4,morpho_PC5,morpho_PC6,morpho_PC7,morpho_PC8,morpho_PC9,morpho_PC10,morpho_PC11,morpho_PC12,malawi_mandibular_mean_pore_area,malawi_preopercular_mean_pore_area,malawi_orbital_mean_pore_area,malawi_otic_mean_pore_area,head_size_mm
D31A07,littoral,masoko,Y,0.038523125,0.092241482,0.195611867,0.132904781,0.415193679,0.165007385,0.44922244,0.231138749,0.426964634,0.05757067,0.038737142,0.138469232,0.150668222,0.123274,0.365113617,0.174638166,0.414765645,0.25296852,0.400854516,0.078330354,0.175124604,0.235669542,0.206156597,0.168798988,0.188759794,0.152526592,0.481657631,0.257943553,0.124693092,0.37774672,0.282393179,0.174894987,0.163252443,0.169073715,0.291224123,0.286729759,0.288976941,0.205650248,0.170028458,0.187839353,0.251219906,cichl187580155,476,14.9,Yellow,NA,Male,1,2018,NA,3,Intermediate,100.32,34.07,34.28,14.62,8.49,12.68,13.34,9.62,9.56,9.63,7.56,55.58,25.16,35.64,65.01,34.08,37.09,17.8,11.14,5,5,4,0.10020683,-0.027589504,-0.008909582,0.057926476,-0.000746704,-0.024400001,littoral,,59,Giulia_2,102.77,-0.768041416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195312243,0.305141671,0.187839353,0.251219906,32.76
D31A08,middle,masoko,Y,0.017487836,0.071894437,0.120471759,0.129480644,0.389678446,0.131247092,0.419354774,0.142375715,0.130540513,0.079666808,0.020667443,0.071187858,0.129657289,0.109166491,0.283161627,0.111462874,0.394624501,0.133190185,0.154210917,0.084082929,0.204271518,0.260226491,0.199608604,0.247313805,0.188310004,0.166071489,0.347640897,0.282038529,0.160131765,0.313031774,0.230383121,0.145802625,0.122768142,0.134285383,0.192984453,0.191527133,0.192255793,0.221368871,0.200565099,0.210966985,0.23658177,cichl187580156,477,17.9,Blue,NA,Male,1,2018,NA,3,Intermediate,83.88,31.67,30.19,13.58,7,10.05,12.26,6.94,7.57,8.46,6.41,43.71,17.06,29.54,54.23,29.74,33.9,18.94,10.42,7,6,4,0.278870933,0.004251667,-0.025072754,-6.17E-05,0.007618936,0.016654559,middle,,69,Giulia_2,85.08,-0.32214369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154740852,0.216772577,0.210966985,0.23658177,29.69
D31A10,littoral,masoko,Y,0.05786963,0.126891219,0.135029136,0.105039406,0.20992811,0.151757076,0.402977577,0.20646196,0.198022639,0.055307693,0.049731713,0.130357369,0.163059738,0.081077762,0.225601134,0.178431358,0.365151335,0.13322071,0.192295957,0.06208929,0.124630687,0.191542446,0.118150494,0.215805494,0.222587091,0.090873403,0.185976488,0.172568881,0.140563625,0.262529601,0.211494192,0.1269515,0.129965543,0.128458522,0.215692467,0.188189323,0.201940895,0.144774542,0.176421996,0.160598269,0.201546613,cichl187580158,479,14.6,Yellow,NA,Male,1,2018,NA,3,Intermediate,89.34,28.04,31.03,14.23,6.55,10.12,11.82,7.95,7.65,8.08,5.77,48.75,17.87,29.12,56.92,31.11,34.81,16.16,10.19,8,7.5,3,0.137180982,-0.039592598,0.050309792,0.021534236,-0.007760088,0.018077467,littoral,,100,Giulia_2,90.05,1.060139262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150717231,0.197407253,0.160598269,0.201546613,30.47
D31B01,littoral,masoko,Y,0.096127773,0.050216001,0.132175688,0.154952231,0.382179636,0.186157889,0.550761925,0.261840576,0.347028435,0.14544706,0.08590523,0.199787947,0.199967289,0.215749461,0.36298995,0.233683747,0.58806524,0.249107233,0.262916633,0.182750375,0.248569205,0.259867805,0.202836775,0.264562886,0.257461749,0.115803163,0.268091569,0.130688183,0.149800684,0.423057793,0.215403052,0.163130266,0.212879975,0.188005121,0.326269499,0.32070987,0.323489685,0.237091262,0.212609266,0.224850264,0.286429238,cichl187580159,480,15.1,Yellow,NA,Male,1,2018,NA,3,Intermediate,93.61,33.78,32.76,15.3,7.07,11.01,12.86,9,9.32,9.17,6.35,52.69,19.78,31.6,60.2,32.87,35.54,17.66,11.33,7,6.5,3,0.134179916,-0.038078374,0.023970886,-0.04527599,0.045288156,0.044576487,littoral,,96,Giulia_2,94.15,0.881780172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211785984,0.298669723,0.224850264,0.286429238,32.68
D31B02,middle,masoko,Y,0.048374809,0.167674142,0.078357112,0.103552325,0.268077065,0.136810006,0.443561723,0.137943791,0.158477889,0.069664764,0.043965647,0.119677261,0.077097351,0.097379498,0.239354523,0.121692878,0.441042202,0.147014067,0.153942751,0.058704846,0.106575751,0.162887051,0.11715774,0.10531599,0.127235825,0.08163249,0.141612002,0.065093047,0.075826475,0.228171905,0.132609772,0.133207091,0.115494856,0.124350973,0.202412042,0.200175966,0.201294004,0.128873514,0.104728102,0.116800808,0.15199919,cichl187580161,482,15.5,Yellow,NA,Male,1,2018,NA,3,Intermediate,69.3,24.32,25.25,10.32,5.1,8.74,10.68,6.19,6.11,7.83,5.11,37.19,13.84,25.72,42.16,25.1,26.52,13.6,7.66,5,5,2,0.169097768,-0.006896091,0.032005224,0.013602233,-0.049511767,-0.059173981,middle,,41,Giulia_2,69.28,-1.570657324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140967216,0.181705708,0.116800808,0.15199919,24.29
D31B03,middle,masoko,Y,0.04539524,0.114723787,0.165451992,0.180410309,0.226585982,0.14294948,0.536028033,0.16311069,0.245576541,0.095212939,0.040452492,0.164931702,0.145811071,0.165712136,0.174036765,0.146201288,0.499087494,0.165842209,0.232699381,0.060093412,0.093261854,0.093782143,0.081555345,0.135405286,0.109650966,0.099115108,0.129375744,0.127926156,0.087700084,0.176124962,0.197506388,0.146513462,0.138188833,0.142351148,0.259982051,0.239430624,0.249706337,0.089533114,0.114723787,0.10212845,0.131912523,cichl187580160,481,14.9,Blue,NA,Male,1,2018,NA,3,Intermediate,70.94,25.56,26.81,11.35,5.31,8.38,10.71,7.28,6.16,8.18,4.63,37.22,13.32,25.02,45.75,26.07,26.92,12.75,7.73,6,NA,2,0.356053632,-0.001394931,-0.007737426,0.024212428,-0.010378834,-0.012991691,middle,,38,Giulia_2,72.63,-1.704426642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162681451,0.22549526,0.10212845,0.131912523,25.21
D31B05,middle,masoko,Y,0.052761834,0.142175844,0.091143906,0.107253564,0.259051956,0.123687578,0.502751083,0.177963072,0.221751069,0.080007699,0.049085805,0.121633327,0.097306661,0.094279343,0.195370152,0.120444023,0.447934997,0.201857263,0.201857263,0.072115048,0.098495965,0.098604083,0.080872647,0.078277803,0.142067725,0.098495965,0.119505612,0.072182588,0.098240203,0.242904891,0.128490997,0.130477421,0.111535057,0.121006239,0.245618231,0.230941143,0.238279687,0.092657565,0.106280498,0.099469031,0.170572547,cichl187580163,484,17.7,Blue,NA,Male,1,2018,NA,3,Intermediate,64.08,22.6,23.18,10.13,4.79,7.18,8.66,6.15,5.12,6.38,3.57,35.62,13.03,23.27,41.62,22.48,21.35,12.54,6.99,4,3.5,4,0.273297347,0.014818613,-0.032590886,0.000299401,0.008600369,0.001578333,middle,,65,Giulia_2,67.5,-0.50050278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.135234635,0.209792569,0.099469031,0.170572547,24.13
D31B06,littoral,masoko,Y,0.072566289,0.105844164,0.182515213,0.174452292,0.280589652,0.115959465,0.436423927,0.24819137,0.234264506,0.086346554,0.065529558,0.174305693,0.139708432,0.221070635,0.264757007,0.137802651,0.443753855,0.279416864,0.193363507,0.080336013,0.144106389,0.204798195,0.161258421,0.182515213,0.193510105,0.087079547,0.189449366,0.257079849,0.143242203,0.18566878,0.421325308,0.163193522,0.173074265,0.168133894,0.251306589,0.24921756,0.250262074,0.170054335,0.154368288,0.162211312,0.164455492,cichl187580164,485,15.1,Yellow,Littoral,Male,1,2018,NA,5,Shallow,87.54,32.05,31.25,14.27,6.5,11.22,11.84,8.64,8.07,8.55,5.9,47.7,16.93,30.07,55.79,29.51,33.41,16.53,9.63,11,10,2,0.18700161,-0.038034173,0.052842946,0.062113043,0.011950934,0.04225545,littoral,,84,Giulia_2,89.82,0.3467029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17970052,0.244862581,0.162211312,0.164455492,30.27
D31B07,littoral,masoko,Y,0.042213812,0.171177006,0.210013713,0.246950798,0.282621469,0.107434151,0.451898853,0.180886183,0.359872744,0.203048434,0.053611541,0.126008228,0.26214777,0.210224782,0.210224782,0.098147112,0.474694311,0.183207942,0.264047392,0.09856925,0.138263691,0.105755892,0.120743254,0.059738358,0.153462142,0.121798702,0.227135081,0.135691088,0.163419266,0.313269424,0.305599928,0.190595359,0.17244342,0.18151939,0.298926553,0.255129724,0.277028139,0.121587612,0.111666401,0.116627006,0.238344345,cichl187580165,486,17.2,Yellow,Littoral,Male,1,2018,NA,5,Shallow,93.33,33.56,34.48,15.44,7.15,11.74,14.79,8.78,8.66,9.15,7,49.57,18.114,32.11,61.62,34.47,36.93,17.21,10.07,9,8,2,0.048475053,-0.041138335,-0.016509122,-0.050815706,0.075062104,-0.00633714,littoral,,89,Giulia_2,91.56,0.569651763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.192494981,0.257905128,0.116627006,0.238344345,34.74
D31B08,littoral,masoko,Y,0.033959916,0.14062275,0.096140043,0.10809776,0.22464564,0.124519691,0.437971309,0.152739903,0.226558875,0.064412235,0.036192023,0.132013194,0.122287584,0.066325469,0.188931926,0.118779987,0.310741202,0.165813673,0.175060975,0.055643242,0.123881946,0.243459115,0.130737704,0.175698719,0.120852658,0.088327668,0.209373817,0.134315279,0.093493969,0.178209161,0.164602058,0.120693222,0.109150039,0.114921631,0.22042058,0.176814773,0.198617677,0.166026255,0.128293015,0.147159635,0.135851565,cichl187580166,487,14.4,Yellow,Littoral,Male,1,2018,NA,5,Shallow,82.26,28.39,28.36,12.64,6.32,9.64,11.21,7.05,6.75,8.22,5.15,45.15,16.09,28.37,50.46,27.26,28.39,16.32,8.99,6,5,4,0.434490055,-0.04831221,0.11208827,0.04778281,-0.088574404,0.024353485,littoral,,78,Giulia_2,80.95,0.079164264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132236404,0.193263051,0.147159635,0.135851565,27.21
