sample_id,subpop_for_graph,dataset,ct_dataset,pore1_left_areas,pore2_left_areas,pore3_left_areas,pore4_left_areas,pore5_left_areas,pore6_left_areas,pore7_left_areas,pore8_left_areas,pore9_left_areas,pore10_left_areas,pore1_right_areas,pore2_right_areas,pore3_right_areas,pore4_right_areas,pore5_right_areas,pore6_right_areas,pore7_right_areas,pore8_right_areas,pore9_right_areas,pore10_right_areas,pore1_ioc_l_areas,pore2_ioc_l_areas,pore3_ioc_l_areas,pore1_ioc_r_areas,pore2_ioc_r_areas,pore3_ioc_r_areas,pore1_lateral_areas,pore2_lateral_areas,pore3_lateral_areas,pore4_lateral_areas,pore5_lateral_areas,mean_mandibular_left_pore_area,mean_mandibular_right_pore_area,mean_mandibular_pore_area,mean_preopercular_left_pore_area,mean_preopercular_right_pore_area,mean_preopercular_pore_area,mean_orbital_left_area,mean_orbital_right_area,mean_orbital_pore_area,mean_otic_pore_area,sequencing_sample_id,subset_vcf_number,seq_depth,colour,Morph,Sex,Sex_Value,collection,Site,Depth,Depth_Cat,SL,BD,HL,HW,IOW,SNL,LJL,PPL,CHD,ED,LAD,DFB,AFB,PRD,PRA,PRP,PRV,CPL,CPD,EggspotNumber,EggspotNumberTheis,FirstSpot,EggspotContrast,PC1,PC2,PC3,PC4,PC5,subpop,Notes,max_number_rings.y,batch,standard_length_fitness,standardised_max_rings,LPG,LPW,LogLPG,ResLPG,T1W,T2W,T3W,T4W,TWA,carbon_content,d13CV.PDB_percent,morpho_PC1,morpho_PC2,morpho_PC3,morpho_PC4,morpho_PC5,morpho_PC6,morpho_PC7,morpho_PC8,morpho_PC9,morpho_PC10,morpho_PC11,morpho_PC12,malawi_mandibular_mean_pore_area,malawi_preopercular_mean_pore_area,malawi_orbital_mean_pore_area,malawi_otic_mean_pore_area,head_size_mm
D29A01,benthic,masoko,Y,0.042517338,0.074867487,0.205746945,0.154171565,0.337365835,0.336811261,0.596721598,0.202234643,0.150659263,0.139752642,0.043441628,0.065070013,0.107772209,0.21998101,0.339214415,0.23754252,0.55882571,0.167296483,0.141970938,0.119787979,0.194655466,0.27710213,0.237912236,0.272392345,0.247629405,0.244534037,0.32904495,0.169429739,0.154966225,0.209204403,0.264992244,0.162933834,0.155095855,0.159014845,0.272342037,0.246970277,0.259656157,0.23655661,0.254851929,0.24570427,0.182085314,cichl187579992,313,18.7,Blue,Benthic,Male,1,2018,NA,1,Deep,94.23,33.51,33.83,14.04,8.04,10.88,14.4,8.86,8.91,9.19,6.62,50.33,18.14,33.3,59.96,32.86,36.75,16.87,10.34,8,7.5,2,0.36651852,0.059635861,0.034313761,0.015750939,0.000306798,0.024182282,benthic,,82,Giulia_2,94.55,0.257523355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207854326,0.257572395,0.24570427,0.182085314,34.65
D29A02,benthic,masoko,Y,0.019181581,0.07385805,0.399048592,0.20920472,0.285931044,0.262805587,0.685875972,0.266928731,0.340069712,0.155783121,0.043203374,0.046430182,0.334512432,0.261192183,0.238066725,0.202213303,0.693942992,0.395642517,0.326624679,0.161340401,0.288921348,0.327838749,0.321920435,0.264351376,0.445846351,0.303986149,0.386112101,0.149624715,0.21790982,0.324856345,0.178746304,0.197444798,0.184680979,0.191062889,0.362164384,0.394387648,0.378276016,0.312893511,0.338061292,0.325477401,0.271383083,cichl187579993,314,13.7,Blue,Benthic,Male,1,2018,NA,1,Deep,88.8,30.93,34.52,13.85,6.75,11.55,13.48,9.18,8.27,8.5,6.86,46.93,16.76,33.21,57.74,34.12,36.81,16.52,10.11,4,3.5,4,0.168961562,0.057803554,0.024370458,0.02560395,0.011063644,0.016742321,benthic,,114,Giulia_2,86.91,1.684396079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231326282,0.356194494,0.325477401,0.271383083,33.95
D29A03,benthic,masoko,Y,0.016255411,0.091843074,0.191001082,0.197706439,0.234281114,0.198316017,0.564672348,0.302757034,0.143250812,0.217212933,0.026008658,0.073758929,0.105863366,0.156051948,0.248910985,0.221683171,0.520376352,0.23854816,0.135529491,0.13390395,0.230059711,0.359315874,0.190429284,0.279796266,0.404150162,0.20542776,0.400327664,0.17422711,0.14885423,0.271771738,0.244143491,0.146217424,0.122118777,0.134168101,0.306973282,0.257089488,0.282031385,0.259934956,0.296458062,0.278196509,0.210312984,cichl187579994,315,14.2,Blue,Benthic,Male,1,2018,NA,1,Deep,88.49,32.94,34.09,13.41,7.6,11.65,14.68,9.87,8.47,8.36,6.53,45.09,17.91,31.89,55.4,33.32,34.31,17.04,10.49,7,6,4,0.544589361,0.055513338,0.013388295,-0.015391052,-0.002692611,0.022442676,benthic,,105,Giulia_2,89.12,1.283088125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171941613,0.283080585,0.278196509,0.210312984,33.1
D29A04,benthic,masoko,Y,0.034070497,0.087256883,0.135111627,0.287388543,0.249546884,0.165801082,0.475296436,0.2820569,0.258389608,0.111314295,0.030169295,0.078024039,0.191418975,0.174773847,0.233551956,0.144344472,0.477897237,0.24239468,0.16229,0.159819239,0.202317411,0.224071972,0.170709315,0.204006497,0.248032993,0.137966753,0.285931266,0.169239419,0.131187729,0.364571424,0.25114115,0.158674887,0.141587622,0.150131254,0.28176431,0.260600289,0.2711823,0.199032899,0.196668747,0.197850823,0.247879577,cichl187579995,316,13.9,Blue,Benthic,Male,1,2018,NA,1,Deep,78.5,25.3,27.6,11.9,5.5,9.3,11.5,8.2,6.9,7.4,6,39.8,14,28.2,51.3,27.7,34.3,15.5,9.1,7,6.5,3,0.349242049,0.056449367,0.030540844,-0.001067703,0.001571053,-0.027879337,benthic,,90,Giulia_2,77.9,0.614241536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174721831,0.262462908,0.197850823,0.247879577,26.84
D29A05,benthic,masoko,Y,0.011807783,0.128238019,0.16997716,0.402563032,0.2831122,0.304256371,1.031670744,0.479450923,0.397345639,0.13455381,0.018398174,0.159542375,0.182059543,0.473684332,0.423432602,0.309748363,1.031945344,0.573363991,0.254279241,0.182608742,0.304857598,0.24608325,0.194999004,0.496286197,0.420758414,0.184287791,0.171971743,0.258239535,0.150545755,0.4116045,0.34507117,0.199139639,0.251423405,0.225281522,0.510755279,0.51054933,0.510652304,0.248646617,0.367110801,0.307878709,0.281075128,cichl187579996,317,12.3,Blue,Benthic,Male,1,2018,NA,1,Deep,98.24,31.65,35.76,15.35,8.69,13.18,16.38,10.02,10.03,9.36,7.74,49.91,19.11,36.63,65.25,37.58,44.21,17.36,12.35,5,4.5,4,0.487066193,0.054597034,0.041196485,0.033245295,-0.041206627,0.014025666,benthic,,115,Giulia_2,98.73,1.728985852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2836614,0.451542971,0.307878709,0.281075128,37.93
D29A07,benthic,masoko,Y,0.020286696,0.077802822,0.090361252,0.137028083,0.109384674,0.08032937,0.282155983,0.127590683,0.040647702,0.050308033,0.016719804,0.075127653,0.099427102,0.131752056,0.158503743,0.072080933,0.350447094,0.097866587,0.071412141,0.054840957,0.098907734,0.123707824,0.078131257,0.122025222,0.129706666,0.092908892,0.093062712,0.105799772,0.068615774,0.119564014,0.082996326,0.086972705,0.096306072,0.091639389,0.1251756,0.143641695,0.134408648,0.100248938,0.11488026,0.107564599,0.094089894,cichl187579998,319,17.8,unassigned,NA,Male,2,2018,NA,1,Deep,53.7,16.89,20.77,8.51,3.65,7.05,7.62,5.67,4.05,5.34,3.49,26.96,10.23,21.23,32.96,21.26,21.14,9.07,5.77,NA,NA,NA,NA,0.05306983,0.008235708,-0.009660206,0.01912226,0.003008143,benthic,,60,Giulia_2,54.89,-0.723451643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103179769,0.127413166,0.107564599,0.094089894,20.58
D29A08,benthic,masoko,Y,0.0279446,0.077733219,0.091311934,0.146413963,0.257798778,0.289679238,0.364854149,0.316246288,0.185182176,0.124176358,0.019679296,0.061596197,0.102529132,0.140116588,0.19876089,0.164715708,0.426056759,0.22670549,0.262521809,0.179081594,0.200379961,0.263773621,0.256574341,0.268676554,0.252536278,0.228522696,0.338824992,0.243581779,0.145054318,0.350319862,0.293392884,0.120240499,0.104536421,0.11238846,0.247614743,0.273591413,0.260603078,0.240242641,0.249911843,0.245077242,0.24768709,cichl187579999,320,13.8,Blue,Benthic,Male,1,2018,NA,1,Deep,86.07,29.64,32.76,13.28,6.96,11.11,12.57,9.31,7.59,8.26,6.23,45.66,16.82,32.5,54.23,32.29,34.94,14.59,9.71,7,6.5,2,0.420046742,0.062508762,0.047802336,0.00857595,0.011269836,0.010679609,benthic,,107,Giulia_2,90,1.372267671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153065565,0.266723139,0.245077242,0.24768709,31.6
D29A09,benthic,masoko,Y,0.040093324,0.097499675,0.11268654,0.207756316,0.416120107,0.215349749,0.694039741,0.281564481,0.285513066,0.140326635,0.049812918,0.102055734,0.24450853,0.360839918,0.29857377,0.278830846,0.637240865,0.253316912,0.279134583,0.198036723,0.202437572,0.275806219,0.260833026,0.233573987,0.347171739,0.267592565,0.282758443,0.25040896,0.216262284,0.509204823,0.614640175,0.174831192,0.211158174,0.192994683,0.350360981,0.341932271,0.346146626,0.246358939,0.28277943,0.264569185,0.362733554,cichl187580000,321,12.8,Blue,Benthic,Male,1,2018,NA,1,Deep,96.01,33.46,36.42,15.07,8.37,12.79,15.93,10.52,9.08,9.65,6.74,47.77,19.16,36.27,60.37,36.98,38.31,18.46,10.78,6,5.5,3,0.452381031,0.061289209,0.028106705,0.011199132,-0.003202052,0.005877041,benthic,,106,Giulia_2,105.32,1.327677898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233422119,0.330234041,0.264569185,0.362733554,37.17
D29A10,middle,masoko,Y,0.074911866,0.133111497,0.202892413,0.233238316,0.344213429,0.136190066,0.542854484,0.262558029,0.275312104,0.09294349,0.052628885,0.141760812,0.170787328,0.181342424,0.313867527,0.136336665,0.657054766,0.309616168,0.261238642,0.079603021,0.173112683,0.239514076,0.115066432,0.284694412,0.319438272,0.179290044,0.199177698,0.120812702,0.127343118,0.493862735,0.284889412,0.197673504,0.172077395,0.18487545,0.293417027,0.326878149,0.310147588,0.17589773,0.26114091,0.21851932,0.310602927,cichl187580001,322,13.3,Blue,Benthic,Male,1,2018,NA,1,Deep,87.3,31.7,31.5,13.8,7.1,10.3,11,7.9,8.1,7.7,5.9,46.99,16.27,30.75,56..52,31.23,35.33,16.41,10.85,8,8,2,0.755194505,0.02349171,-0.019730589,-0.007284752,-0.00379661,0.024124125,middle,,75,Giulia_2,90.46,-0.054605054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199374048,0.28011711,0.21851932,0.310602927,28.7
D29B01,benthic,masoko,Y,0.011386611,0.054711278,0.105951029,0.513369533,0.196627335,0.119559418,0.406307615,0.236341613,0.117615362,0.118309668,0.022217778,0.055127862,0.132056918,0.231898058,0.157051918,0.154552418,0.402002921,0.17218778,0.092203779,0.093453529,0.223593223,0.218454745,0.138600022,0.235675589,0.270533912,0.162070367,0.273735497,0.194391875,0.126553078,0.230889941,0.149562728,0.176409157,0.119670507,0.148039832,0.219643565,0.189962002,0.204802783,0.19354933,0.222759956,0.208154643,0.178721509,cichl187580002,323,15.1,Blue,Benthic,Male,1,2018,NA,1,Deep,76.86,27.44,30.82,12.29,6.12,8.74,11.47,6.65,6.91,7.38,5.12,38.54,13.43,27.88,49.74,28.12,30.37,13.6,8.04,4,3.5,3,0.480469788,0.05772343,0.041241501,0.04416643,0.008859566,-0.016124744,benthic,,95,Giulia_2,79.39,0.837190399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172090577,0.210654964,0.208154643,0.178721509,30.18
D29B02,benthic,masoko,Y,0.011175595,0.028650162,0.128011364,0.330594426,0.30011553,0.150159361,0.486036796,0.304992153,0.134716721,0.078432359,0.031901245,0.018287338,0.144876353,0.20928842,0.282844156,0.159506223,0.389317099,0.301131493,0.154832792,0.221886363,0.238595496,0.318262816,0.178845005,0.265219013,0.373135715,0.234327603,0.238768347,0.148975122,0.126934967,0.199177698,0.257543294,0.159709415,0.137439502,0.148574459,0.251044507,0.266791937,0.258918222,0.245234439,0.290894111,0.268064275,0.163056333,cichl187580003,324,15.1,Blue,Benthic,Male,1,2018,NA,1,Deep,85.74,29,31.87,12.56,6.06,9.04,11.75,8.01,8.44,7.49,5.52,43.34,15.69,30.55,54.96,31.15,34.45,15.1,8.93,4,3.5,5,0.554705093,0.047375289,-0.020469757,-0.022980155,0.007366536,0.015827894,benthic,,79,Giulia_2,88.43,0.123754037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175233333,0.245908925,0.268064275,0.163056333,32.75
D29B03,benthic,masoko,Y,0.041352741,0.038231779,0.271653695,0.190898815,0.208974384,0.135631787,0.698315146,0.208194143,0.163850481,0.116906018,0.038361819,0.042783181,0.16059948,0.226269712,0.179845409,0.164110561,0.487910322,0.247856363,0.157348478,0.174383726,0.278805898,0.229260634,0.232121515,0.279525417,0.23712184,0.126560368,0.282634692,0.237311291,0.150229251,0.359531699,0.174673332,0.150222283,0.12957192,0.139897101,0.296816447,0.266874722,0.281845585,0.246729349,0.214402542,0.230565945,0.254880475,cichl187580004,325,15.9,Blue,Benthic,Male,1,2018,NA,1,Deep,77.48,26.48,29.23,11.54,5.74,9.04,12.05,6.36,6.92,8.37,5.32,40.63,14.63,29.24,48.29,28,29.82,14.44,9.33,4,3.5,3,0.341366708,0.056147214,0.012505799,-0.052209775,-0.010601448,0.024050039,benthic,,62,Giulia_2,89.55,-0.634272098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16189988,0.277471066,0.230565945,0.254880475,28.89
D29B04,benthic,masoko,Y,0.018744931,0.084129035,0.141702751,0.205747931,0.390073084,0.203516391,0.692223516,0.207086854,0.303266202,0.107560198,0.036597246,0.072078722,0.155761449,0.232749557,0.307952434,0.182093613,0.617243793,0.214674088,0.33093729,0.10711389,0.293999119,0.428455302,0.292898822,0.292554813,0.343433911,0.297017891,0.291016438,0.188743693,0.1413383,0.482393764,0.310768685,0.168079546,0.161027882,0.164553714,0.327534192,0.317492265,0.322513229,0.338451081,0.311002205,0.324726643,0.311866032,cichl187580005,326,17.5,Blue,NA,Male,1,2018,NA,1,Deep,84.81,29.53,33.12,12.77,7.15,9.62,13.15,8.78,8.22,8.26,6.9,44.42,16.09,29.2,53.26,31.8,33.13,15.26,9.57,NA,NA,NA,0.536127933,0.059461071,0.030815164,0.01790916,-0.016275796,0.027047981,benthic,,87,Giulia_2,86.95,0.480472218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197580497,0.305986596,0.324726643,0.311866032,31.26
D29B05,benthic,masoko,Y,0.016924195,0.04388483,0.110007265,0.206239023,0.234970795,0.180459145,0.713768068,0.290072824,0.195021824,0.076158876,0.026960636,0.060809025,0.107252163,0.14621717,0.20072882,0.178688008,0.733644157,0.220408116,0.17947518,0.080488321,0.327463486,0.349504298,0.150349822,0.298988781,0.320640371,0.281864341,0.407197608,0.210166507,0.134637919,0.336047488,0.293357416,0.122405221,0.108393563,0.115399392,0.318755398,0.303503943,0.311129671,0.275772535,0.300497831,0.288135183,0.235342703,cichl187580006,327,17.3,Blue,Benthic,Male,1,2018,NA,1,Deep,86.7,29.1,31.7,13,6.8,11.3,13.3,9.6,8,8.3,6.8,44.1,15.8,32.5,57.5,31.7,35.1,15.7,9.7,4,3.5,5,0.45484129,0.062444598,0.027345599,-0.037207387,0.000225559,0.029234565,benthic,,78,Giulia_2,91.18,0.079164264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146925624,0.310640148,0.288135183,0.235342703,31.05
D29B06,benthic,masoko,Y,0.037587455,0.072419809,0.171997047,0.224737561,0.24795913,0.173374598,0.527011548,0.24461365,0.317230252,0.159599091,0.047230311,0.072419809,0.154679267,0.245400822,0.308964948,0.193841066,0.490211265,0.281610726,0.381778343,0.110007265,0.269660717,0.313160731,0.329301008,0.422796512,0.292099639,0.407837231,0.321856373,0.163665061,0.157096563,0.313098377,0.298319258,0.150940201,0.165739031,0.158339616,0.312113635,0.3159019,0.314007768,0.304040819,0.37424446,0.33914264,0.23509747,cichl187580007,328,17.7,Blue,Benthic,Male,1,2018,NA,1,Deep,91.96,30.62,36.04,14.14,7.58,12.34,13.33,9.16,8.45,9.33,6.78,43.7,17.04,35.89,59.53,36.12,39.32,17.28,11.24,9,8,3,0.372245117,0.060715258,0.049538068,0.004388942,0.028384791,0.000716645,benthic,,86,Giulia_2,96.05,0.435882445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186579406,0.299758357,0.33914264,0.23509747,35.34
D29B07,benthic,masoko,Y,0.020141602,0.083251953,0.099365234,0.177001953,0.198974609,0.127563477,0.62512207,0.217407227,0.145385742,0.12487793,0.017578125,0.082275391,0.101806641,0.194702148,0.239379883,0.109985352,0.462646484,0.207397461,0.119506836,0.111083984,0.23502514,0.300029537,0.260978836,0.228566202,0.311965226,0.186626346,0.276606724,0.15423805,0.176376319,0.344724475,0.223815467,0.11574707,0.127148438,0.121447754,0.278198242,0.225158691,0.251678467,0.265344504,0.242385925,0.253865214,0.260550397,cichl187580008,329,17.3,Blue,Benthic,Male,1,2018,NA,1,Deep,66.69,21.8,25.93,11.06,4.91,8.63,10.32,7.75,6.11,6.51,4.31,33.98,11.22,23.69,42.75,26.02,28.75,12.29,8,4,3.5,3,0.500903922,0.051014306,-0.002823396,-0.002899321,-0.014411288,0.043514738,benthic,,87,Giulia_2,69.74,0.480472218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141430664,0.244427251,0.253865214,0.260550397,26.18
D29B08,benthic,masoko,Y,0.015460947,0.056221627,0.119254719,0.154176999,0.182071575,0.135796852,0.449340538,0.237752609,0.092225091,0.096225476,0.019028858,0.090603313,0.27256677,0.21223664,0.163367072,0.125309356,0.358412869,0.152555221,0.161853413,0.094819935,0.228963865,0.231017838,0.199019111,0.262727985,0.265430948,0.222075425,0.2912267,0.14311355,0.12686485,0.274040575,0.10061695,0.105437173,0.151560531,0.128498852,0.218885929,0.19191036,0.205398144,0.219666938,0.250078119,0.234872529,0.200452713,cichl187580009,330,17.7,Blue,Benthic,Male,1,2018,NA,1,Deep,62.87,20.8,24.34,10.06,4.89,7.67,10.18,7.04,5.4,6.77,4.85,32.5,11.9,24.37,41.88,24.26,26.05,11.7,8,4,3.5,2,NA,0.064473012,0.040286601,-0.091495144,-0.012851976,7.47E-05,benthic,,68,Giulia_2,63.41,-0.366733462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151160492,0.20775254,0.234872529,0.200452713,26.11
D29B10,benthic,masoko,Y,0.021998101,0.072834049,0.083001238,0.14363466,0.192806886,0.196504045,0.759026915,0.206301519,0.113133091,0.076716067,0.022182959,0.038820178,0.128661162,0.123115423,0.204822655,0.137534346,0.588402989,0.210368395,0.125888293,0.085774108,0.254602412,0.270873299,0.228901805,0.430069143,0.369238211,0.293430666,0.303915517,0.226534814,0.156256687,0.25494512,0.214946399,0.102854987,0.103520476,0.103187731,0.288794398,0.252608446,0.270701422,0.251459172,0.364246007,0.307852589,0.205600903,cichl187580011,332,13.9,Blue,Benthic,Male,1,2018,NA,1,Deep,83.07,27.44,31.49,12.44,6.38,10.36,12.37,8.7,7.23,7.93,5.38,41.92,15.12,29.55,51.89,31.52,33.78,16.55,8.99,4,3.5,5,0.445979282,0.06120099,0.027473968,0.002775915,0.005724289,0.001453161,benthic,,93,Giulia_2,81.7,0.748010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132173464,0.269606171,0.307852589,0.205600903,32.52
D29C01,benthic,masoko,Y,0.027913557,0.066364019,0.112393659,0.138828352,0.263237781,0.182824554,0.492831407,0.229963342,0.218687005,0.134946334,0.029392421,0.056751404,0.09668073,0.172472507,0.26693494,0.177278814,0.582672391,0.213510981,0.159162731,0.131803748,0.131646272,0.252013861,0.149211435,0.194141273,0.245727382,0.166406805,0.207871565,0.231263762,0.148859433,0.366832174,0.222225868,0.121747474,0.1244464,0.123096937,0.269107022,0.271787463,0.270447242,0.177623856,0.20209182,0.189857838,0.257845804,cichl187580012,333,16.1,Blue,Benthic,Male,1,2018,NA,1,Deep,79.66,28.56,30.82,12.18,6.04,9.57,12.71,8.66,7.26,8.62,5.32,39.52,14.04,30.33,48.64,29.77,30.86,14.35,8.24,7,6.5,4,0.225846438,0.061939211,0.035256114,0.005633795,0.017495666,0.018081727,benthic,,103,Giulia_2,78.55,1.19390858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153376676,0.260271327,0.189857838,0.257845804,31.01
D29C04,benthic,masoko,Y,0.053584149,0.150455136,0.19679303,0.254381688,0.293091945,0.179058774,0.603536763,0.35220613,0.334281184,0.075894986,0.045003057,0.114986625,0.117846989,0.185351575,0.239126414,0.176389101,0.646632911,0.385767732,0.203848594,0.097633751,0.196785916,0.261379766,0.252742216,0.253289414,0.307265999,0.252526494,0.120969827,0.155454439,0.186654802,0.396299344,0.12699095,0.18966119,0.140462932,0.165062061,0.341479766,0.333470747,0.337475257,0.236969299,0.271027302,0.253998301,0.291477073,cichl187580015,336,17.6,Blue,Benthic,Male,1,2018,NA,1,Deep,81.79,29.29,31.31,12.97,6.29,9.84,12.17,8.4,7.99,7.84,5.73,42.11,15.76,30.52,50.88,30.27,32.6,14.04,9.33,9,8.5,3,0.398393416,0.057358863,0.037269905,0.02653882,0.014825693,0.003398127,benthic,,93,Giulia_2,84.6,0.748010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190748128,0.297622632,0.253998301,0.291477073,33.19
D29C05,benthic,masoko,Y,0.027227908,0.071552411,0.154080412,0.144160167,0.265735944,0.180886183,0.672888157,0.348686084,0.222466787,0.12558609,0.018785146,0.137828095,0.168433108,0.121364708,0.225210685,0.200515605,0.590782293,0.250750041,0.195449948,0.160412484,0.207078902,0.323811453,0.227132414,0.2294544,0.321278378,0.257740407,0.317025037,0.186408991,0.160458784,0.49737898,0.586042189,0.132551368,0.134324349,0.133437858,0.342406779,0.299348692,0.320877735,0.252674257,0.269491062,0.261082659,0.328918882,cichl187580016,337,14.2,Blue,Benthic,Male,1,2018,NA,1,Deep,85.68,30.7,31.52,13.22,6.22,10.49,11.97,8.54,7.75,7.74,6.1,44.21,15.58,30.98,54.4,30.56,32.33,15.45,9.37,7,6.5,2,0.550157279,0.04968219,0.020927996,0.011788397,0.000768532,-0.002333243,benthic,,76,Giulia_2,86.09,-0.010015281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166976732,0.307045591,0.261082659,0.328918882,32.88
D29C07,benthic,masoko,Y,0.027227908,0.051078712,0.209591575,0.285365366,0.323568866,0.17476518,0.876780867,0.281988261,0.115876913,0.18384115,0.014774834,0.097724974,0.153447205,0.204103779,0.346153255,0.191228567,0.641861005,0.268690911,0.139938785,0.112288739,0.281804622,0.308613002,0.270616873,0.344434306,0.301952686,0.200538232,0.348655538,0.265385573,0.19709222,0.452293696,0.433722697,0.179366485,0.163240809,0.171303647,0.364621798,0.29069486,0.327658329,0.287011499,0.282308408,0.284659954,0.324692958,cichl187580018,339,16.7,Blue,Benthic,Male,1,2018,NA,1,Deep,92.15,32.94,34.4,13.99,7.35,11.57,13.34,9.37,8.53,9.04,6.62,47.31,18.19,32.61,58.6,32.62,34.1,17.42,11.64,5,5,3,0.48597211,0.055745169,0.024258715,0.048037306,0.027211128,-0.040306508,benthic,,93,Giulia_2,93.41,0.748010854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.203702748,0.323530774,0.284659954,0.324692958,34.4
D29C08,benthic,masoko,Y,0.027523052,0.10803825,0.184650925,0.273381959,0.440985023,0.157333269,0.788514906,0.406273114,0.293099966,0.245448115,0.029782407,0.073326341,0.111119188,0.286938089,0.424964142,0.212790165,1.077506954,0.333152169,0.245653511,0.136999073,0.278777263,0.414776193,0.410051154,0.355313778,0.423619964,0.271603231,0.393961426,0.253343926,0.223128595,0.362002903,0.256249246,0.206915842,0.185226033,0.196070938,0.433334025,0.448327927,0.440830976,0.367868203,0.350178991,0.359023597,0.292565749,cichl187580019,340,14.6,Blue,Benthic,Male,1,2018,NA,1,Deep,93.65,31.09,36.48,14.77,7.52,12.04,15,9.72,8.93,9,6.97,45.76,16.51,34.49,60.23,33.25,36.13,18.26,10.22,6,5.5,2,0.290873402,0.047155825,-0.000216678,-0.057155271,0.039126506,-0.001563897,benthic,,108,Giulia_2,91.78,1.416857443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227352735,0.417395316,0.359023597,0.292565749,34.86
D29C09,benthic,masoko,Y,0.013559717,0.048427561,0.135209751,0.258990597,0.50732713,0.257828335,0.677792146,0.325239501,0.27758678,0.221410809,0.01549682,0.062180988,0.179375686,0.252791869,0.446308403,0.203395757,0.714403382,0.352358935,0.26150883,0.128042472,0.301353369,0.333014546,0.178713992,0.29353344,0.29238906,0.265496133,0.361515766,0.23020048,0.189264136,0.340781773,0.207871565,0.192702951,0.191230753,0.191966852,0.375507309,0.364078405,0.369792857,0.271027302,0.283806211,0.277416757,0.265022955,cichl187580020,341,16.4,Blue,Benthic,Male,1,2018,NA,1,Deep,90.16,31.52,33.17,14.02,7.13,10.48,13.65,8.01,8.13,8.61,6.92,45.58,17.16,32.82,57.41,32.46,33.84,17.76,10.32,7,6.5,4,0.386065028,0.053246068,0.006375047,-0.038326956,0.01565313,0.005933791,benthic,,87,Giulia_2,89.09,0.480472218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235183608,0.35500591,0.277416757,0.265022955,32.62
