sample_id,ct_dataset,subpop,SL,PC1,max_number_rings
D31H02,Y,littoral,82.76,-0.050083778,77
D31H03,Y,littoral,67.33,-0.040922315,66
D31H04,Y,littoral,82.43,-0.032528934,64
D31H05,Y,littoral,85.49,-0.031777726,69
D31H06,Y,littoral,78.93,-0.039804699,75
D31H08,Y,littoral,74.63,-0.037871039,70
D31H09,Y,littoral,78.2,-0.044756942,80
D31H10a,Y,NA,NA,NA,NA
D31I04,Y,littoral,59.43,-0.039684492,56
D31I06,Y,littoral,81.96,-0.033654871,65
D31I07,Y,littoral,88.74,-0.038525173,72
D31I08,Y,littoral,75.92,-0.03981295,76
D31I09,Y,littoral,78.84,-0.03158648,67
D31I10,Y,middle,76.38,-0.007440931,81
D31J01,Y,littoral,67.76,-0.048743656,60
D31J02,Y,littoral,81.56,-0.034867663,45
D31J03,Y,littoral,92.6,-0.04225995,92
D31J04,Y,littoral,71.65,-0.041963995,75
D31J05,Y,middle,72.53,-0.014746096,69
D31J08,Y,NA,NA,NA,NA
D32A10,Y,littoral,52.8,-0.051541051,41
D32B03,Y,littoral,59.9,-0.034502881,72
D32B04,Y,littoral,57.95,-0.042594852,27
G10E03,Y,benthic,85.85,0.056339243,110
G10E08,Y,benthic,83.62,0.059327903,88
G10E09,Y,benthic,84.75,0.05926273,88
G10F04,Y,benthic,99.84,0.053014846,91
G10G08,Y,littoral,70.87,-0.038369686,91
G10H01,Y,littoral,83.13,-0.045391248,44
G10H02,Y,littoral,81.88,-0.045406395,102
G10H07,Y,littoral,71.57,-0.035157584,73
